Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable,Instances,Rules_with_labels,Instances_with_labels,Variable_types
?a  2664  ?b   => ?a  2663  ?b,1.0,1.0,1.0,4748,4748,4748,?b,335957 2664 816222 => 335957 2663 1249315,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/rent50_1 ?b => ?a /measurement_unit/dated_money_value/currency-/location/statistical_region/rent50_3 ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/rent50_1 Sumner County => United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/rent50_3 Sequatchie County,"{'?a': ""['/finance/currency']"", '?b': ""['/location/administrative_division', '/location/us_county', '/location/location', '/location/dated_location', '/location/hud_foreclosure_area', '/location/statistical_region']""}"
?a  2664  ?f  ?f  754  ?b   => ?a  2687  ?b,0.971262136,1.0,1.0,2501,2501,2501,?b,335957 2664 816222 4283830 754 4283868 => 335957 2687 41488869,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/rent50_1 ?f ?f /location/us_county/hud_section_8_area ?b => ?a /measurement_unit/dated_money_value/currency-/location/hud_section_8_area/median_family_income ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/rent50_1 Sumner County 4283830 /location/us_county/hud_section_8_area 4283868 => United States Dollar /measurement_unit/dated_money_value/currency-/location/hud_section_8_area/median_family_income Wibaux County\ MT HUD Section 8 Area,"{'?a': ""['/finance/currency']"", '?f': ""['/location/us_county', '/location/location', '/periodicals/newspaper_circulation_area', '/location/hud_foreclosure_area', '/location/administrative_division', '/location/statistical_region', '/location/dated_location']"", '?b': ""['/location/us_cbsa', '/location/location', '/location/hud_section_8_area']""}"
?a  2680  ?b   => ?a  2187  ?b,0.993506494,0.997826087,1.0,459,460,459,?b,2718265 2680 15087185 => 4957038 2187 15090037,?a /american_football/player_rushing_statistics/team-/american_football/football_player/rushing ?b => ?a /american_football/game_rushing_statistics/team-/american_football/game_rushing_statistics/player ?b,New York Jets /american_football/player_rushing_statistics/team-/american_football/football_player/rushing David Clowney => Cincinnati Bengals /american_football/game_rushing_statistics/team-/american_football/game_rushing_statistics/player Cedric Benson,"{'?a': ""['/sports/professional_sports_team', '/sports/sports_team', '/business/employer', '/american_football/football_team']"", '?b': ""['/people/person', '/american_football/football_player', '/film/actor', '/baseball/baseball_player', '/film/person_or_entity_appearing_in_film', '/sports/drafted_athlete', '/people/measured_person', '/sports/pro_athlete']""}"
?a  2682  ?b   => ?a  2189  ?b,0.9921875,0.998427673,1.0,635,636,635,?b,2703638 2682 22233874 => 4087241 2189 2347880,?a /american_football/player_receiving_statistics/team-/american_football/football_player/receiving ?b => ?a /american_football/game_receiving_statistics/team-/american_football/game_receiving_statistics/player ?b,Atlanta Falcons /american_football/player_receiving_statistics/team-/american_football/football_player/receiving Michael Turner => Indianapolis Colts /american_football/game_receiving_statistics/team-/american_football/game_receiving_statistics/player Austin Collie,"{'?a': ""['/sports/sports_team', '/film/person_or_entity_appearing_in_film', '/american_football/football_team', '/award/award_nominee', '/award/award_winner', '/sports/professional_sports_team']"", '?b': ""['/american_football/football_player', '/people/measured_person', '/people/person', '/sports/pro_athlete']""}"
?a  2691  ?b   => ?a  2693  ?b,1.0,1.0,1.0,1068,1068,1068,?b,6608230 2691 35822480 => 4087244 2693 37408196,?a /american_football/game_rushing_statistics/team-/american_football/football_game/rushing ?b => ?a /american_football/game_receiving_statistics/team-/american_football/football_game/receiving ?b,Carolina Panthers /american_football/game_rushing_statistics/team-/american_football/football_game/rushing Minnesota Vikings at Carolina Panthers\ 2009-12-20 => Jacksonville Jaguars /american_football/game_receiving_statistics/team-/american_football/football_game/receiving Pittsburgh Steelers at Jacksonville Jaguars\ 2008-10-05,"{'?a': ""['/business/employer', '/sports/professional_sports_team', '/sports/sports_team', '/american_football/football_team']"", '?b': ""['/time/event', '/american_football/nfl_game', '/american_football/football_game']""}"
?a  2691  ?b   => ?a  2695  ?b,1.0,1.0,1.0,1068,1068,1068,?b,6608230 2691 35822480 => 192431 2695 28601947,?a /american_football/game_rushing_statistics/team-/american_football/football_game/rushing ?b => ?a /american_football/game_passing_statistics/team-/american_football/football_game/passing ?b,Carolina Panthers /american_football/game_rushing_statistics/team-/american_football/football_game/rushing Minnesota Vikings at Carolina Panthers\ 2009-12-20 => San Francisco 49ers /american_football/game_passing_statistics/team-/american_football/football_game/passing San Francisco 49ers at St. Louis Rams\ 2008-12-21,"{'?a': ""['/american_football/football_team', '/organization/organization', '/award/award_nominee', '/sports/sports_team', '/sports/professional_sports_team', '/film/person_or_entity_appearing_in_film', '/business/employer', '/award/award_winner']"", '?b': ""['/time/event', '/american_football/nfl_game', '/american_football/football_game']""}"
?a  2693  ?b   => ?a  2691  ?b,1.0,1.0,1.0,1068,1068,1068,?b,4087244 2693 37408196 => 6608230 2691 35822480,?a /american_football/game_receiving_statistics/team-/american_football/football_game/receiving ?b => ?a /american_football/game_rushing_statistics/team-/american_football/football_game/rushing ?b,Jacksonville Jaguars /american_football/game_receiving_statistics/team-/american_football/football_game/receiving Pittsburgh Steelers at Jacksonville Jaguars\ 2008-10-05 => Carolina Panthers /american_football/game_rushing_statistics/team-/american_football/football_game/rushing Minnesota Vikings at Carolina Panthers\ 2009-12-20,"{'?a': ""['/award/award_nominee', '/tv/tv_actor', '/award/award_winner', '/american_football/football_team', '/sports/professional_sports_team', '/sports/sports_team', '/business/customer']"", '?b': ""['/time/event', '/american_football/nfl_game', '/american_football/football_game']""}"
?a  2693  ?b   => ?a  2695  ?b,1.0,1.0,1.0,1068,1068,1068,?b,4087244 2693 37408196 => 192431 2695 28601947,?a /american_football/game_receiving_statistics/team-/american_football/football_game/receiving ?b => ?a /american_football/game_passing_statistics/team-/american_football/football_game/passing ?b,Jacksonville Jaguars /american_football/game_receiving_statistics/team-/american_football/football_game/receiving Pittsburgh Steelers at Jacksonville Jaguars\ 2008-10-05 => San Francisco 49ers /american_football/game_passing_statistics/team-/american_football/football_game/passing San Francisco 49ers at St. Louis Rams\ 2008-12-21,"{'?a': ""['/american_football/football_team', '/organization/organization', '/award/award_nominee', '/sports/sports_team', '/sports/professional_sports_team', '/film/person_or_entity_appearing_in_film', '/business/employer', '/award/award_winner']"", '?b': ""['/time/event', '/american_football/nfl_game', '/american_football/football_game']""}"
?a  2695  ?b   => ?a  2691  ?b,1.0,1.0,1.0,1068,1068,1068,?b,192431 2695 28601947 => 6608230 2691 35822480,?a /american_football/game_passing_statistics/team-/american_football/football_game/passing ?b => ?a /american_football/game_rushing_statistics/team-/american_football/football_game/rushing ?b,San Francisco 49ers /american_football/game_passing_statistics/team-/american_football/football_game/passing San Francisco 49ers at St. Louis Rams\ 2008-12-21 => Carolina Panthers /american_football/game_rushing_statistics/team-/american_football/football_game/rushing Minnesota Vikings at Carolina Panthers\ 2009-12-20,"{'?a': ""['/award/award_nominee', '/tv/tv_actor', '/award/award_winner', '/american_football/football_team', '/sports/professional_sports_team', '/sports/sports_team', '/business/customer']"", '?b': ""['/time/event', '/american_football/nfl_game', '/american_football/football_game']""}"
?a  2695  ?b   => ?a  2693  ?b,1.0,1.0,1.0,1068,1068,1068,?b,192431 2695 28601947 => 4087244 2693 37408196,?a /american_football/game_passing_statistics/team-/american_football/football_game/passing ?b => ?a /american_football/game_receiving_statistics/team-/american_football/football_game/receiving ?b,San Francisco 49ers /american_football/game_passing_statistics/team-/american_football/football_game/passing San Francisco 49ers at St. Louis Rams\ 2008-12-21 => Jacksonville Jaguars /american_football/game_receiving_statistics/team-/american_football/football_game/receiving Pittsburgh Steelers at Jacksonville Jaguars\ 2008-10-05,"{'?a': ""['/business/employer', '/sports/professional_sports_team', '/sports/sports_team', '/american_football/football_team']"", '?b': ""['/time/event', '/american_football/nfl_game', '/american_football/football_game']""}"
?a  2735  ?b   => ?a  2667  ?b,0.693140794,0.994818653,1.0,192,193,192,?b,335957 2735 1374248 => 335957 2667 104390,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_per_capita_in_ppp_dollars ?b => ?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal_per_capita ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_per_capita_in_ppp_dollars Swaziland => United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal_per_capita Madagascar,"{'?a': ""['/finance/currency']"", '?b': ""['/location/statistical_region', '/tv/tv_location', '/organization/organization_scope', '/organization/organization_member', '/location/country', '/symbols/flag_referent', '/location/dated_location', '/meteorology/cyclone_affected_area', '/book/book_subject', '/location/location', '/olympics/olympic_participating_country', '/travel/travel_destination', '/government/governmental_jurisdiction', '/sports/sports_team_location', '/biology/breed_origin', '/film/film_location', '/food/beer_country_region']""}"
?a  2735  ?b   => ?a  2672  ?b,0.647651007,1.0,1.0,193,193,193,?b,335957 2735 1374248 => 335957 2672 157639,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_per_capita_in_ppp_dollars ?b => ?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_per_capita_in_ppp_dollars Swaziland => United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal Ecuador,"{'?a': ""['/finance/currency']"", '?b': ""['/sports/sports_team_location', '/travel/travel_destination', '/location/statistical_region', '/book/book_subject', '/symbols/namesake', '/organization/organization_founder', '/periodicals/newspaper_circulation_area', '/olympics/olympic_participating_country', '/organization/organization_scope', '/location/dated_location', '/organization/organization_member', '/location/location', '/location/country', '/sports/sport_country', '/symbols/flag_referent', '/government/governmental_jurisdiction']""}"
?a  2735  ?b   => ?a  2738  ?b,0.95049505,0.994818653,1.0,192,193,192,?b,335957 2735 1374248 => 335957 2738 16941,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_per_capita_in_ppp_dollars ?b => ?a /measurement_unit/adjusted_money_value/adjustment_currency-/location/statistical_region/gdp_real ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_per_capita_in_ppp_dollars Swaziland => United States Dollar /measurement_unit/adjusted_money_value/adjustment_currency-/location/statistical_region/gdp_real Brunei,"{'?a': ""['/finance/currency']"", '?b': ""['/symbols/flag_referent', '/location/location', '/sports/sports_team_location', '/location/statistical_region', '/location/dated_location', '/olympics/olympic_participating_country', '/organization/organization_scope', '/organization/organization_member', '/book/book_subject', '/location/country', '/travel/travel_destination', '/organization/organization_founder', '/government/governmental_jurisdiction']""}"
?a  2735  ?b   => ?a  2759  ?b,1.0,1.0,1.0,193,193,193,?b,335957 2735 1374248 => 335957 2759 185613,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_per_capita_in_ppp_dollars ?b => ?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_in_ppp_dollars ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_per_capita_in_ppp_dollars Swaziland => United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_in_ppp_dollars Paraguay,"{'?a': ""['/finance/currency']"", '?b': ""['/military/military_combatant', '/organization/organization_scope', '/organization/organization_founder', '/periodicals/newspaper_circulation_area', '/biology/breed_origin', '/location/dated_location', '/location/location', '/olympics/olympic_participating_country', '/book/book_subject', '/location/statistical_region', '/government/governmental_jurisdiction', '/symbols/flag_referent', '/organization/organization_member', '/location/country', '/sports/sports_team_location']""}"
?a  2738  ?b   => ?a  2667  ?b,0.725631769,0.995049505,1.0,201,202,201,?b,335957 2738 16941 => 335957 2667 104390,?a /measurement_unit/adjusted_money_value/adjustment_currency-/location/statistical_region/gdp_real ?b => ?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal_per_capita ?b,United States Dollar /measurement_unit/adjusted_money_value/adjustment_currency-/location/statistical_region/gdp_real Brunei => United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal_per_capita Madagascar,"{'?a': ""['/finance/currency']"", '?b': ""['/location/statistical_region', '/tv/tv_location', '/organization/organization_scope', '/organization/organization_member', '/location/country', '/symbols/flag_referent', '/location/dated_location', '/meteorology/cyclone_affected_area', '/book/book_subject', '/location/location', '/olympics/olympic_participating_country', '/travel/travel_destination', '/government/governmental_jurisdiction', '/sports/sports_team_location', '/biology/breed_origin', '/film/film_location', '/food/beer_country_region']""}"
?a  2738  ?b   => ?a  2672  ?b,0.677852349,1.0,1.0,202,202,202,?b,335957 2738 16941 => 335957 2672 157639,?a /measurement_unit/adjusted_money_value/adjustment_currency-/location/statistical_region/gdp_real ?b => ?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal ?b,United States Dollar /measurement_unit/adjusted_money_value/adjustment_currency-/location/statistical_region/gdp_real Brunei => United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal Ecuador,"{'?a': ""['/finance/currency']"", '?b': ""['/sports/sports_team_location', '/travel/travel_destination', '/location/statistical_region', '/book/book_subject', '/symbols/namesake', '/organization/organization_founder', '/periodicals/newspaper_circulation_area', '/olympics/olympic_participating_country', '/organization/organization_scope', '/location/dated_location', '/organization/organization_member', '/location/location', '/location/country', '/sports/sport_country', '/symbols/flag_referent', '/government/governmental_jurisdiction']""}"
?a  2742  ?b   => ?a  2755  ?b,0.700564972,1.0,1.0,124,124,124,?b,335957 2742 6439 => 335957 2755 87,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/external_debt_stock ?b => ?a /measurement_unit/dated_money_value/currency-/location/statistical_region/official_development_assistance ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/external_debt_stock Kenya => United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/official_development_assistance Turkey,"{'?a': ""['/finance/currency']"", '?b': ""['/food/beer_country_region', '/sports/sports_team_location', '/film/film_location', '/business/business_location', '/location/location', '/biology/breed_origin', '/location/country', '/travel/travel_destination', '/olympics/olympic_participating_country', '/book/book_subject', '/periodicals/newspaper_circulation_area', '/organization/organization_founder', '/projects/project_participant', '/organization/organization_member', '/organization/organization_scope', '/law/court_jurisdiction_area', '/sports/sport_country', '/location/dated_location', '/symbols/flag_referent', '/location/statistical_region', '/military/military_combatant', '/government/governmental_jurisdiction', '/business/employer']""}"
?a  2755  ?b   => ?a  2667  ?b,0.63898917,1.0,1.0,177,177,177,?b,335957 2755 2555032 => 335957 2667 104390,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/official_development_assistance ?b => ?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal_per_capita ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/official_development_assistance Kiribati => United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal_per_capita Madagascar,"{'?a': ""['/finance/currency']"", '?b': ""['/location/statistical_region', '/tv/tv_location', '/organization/organization_scope', '/organization/organization_member', '/location/country', '/symbols/flag_referent', '/location/dated_location', '/meteorology/cyclone_affected_area', '/book/book_subject', '/location/location', '/olympics/olympic_participating_country', '/travel/travel_destination', '/government/governmental_jurisdiction', '/sports/sports_team_location', '/biology/breed_origin', '/film/film_location', '/food/beer_country_region']""}"
?a  2755  ?b   => ?a  2672  ?b,0.590604027,0.994350282,1.0,176,177,176,?b,335957 2755 2555032 => 335957 2672 157639,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/official_development_assistance ?b => ?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/official_development_assistance Kiribati => United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal Ecuador,"{'?a': ""['/finance/currency']"", '?b': ""['/sports/sports_team_location', '/travel/travel_destination', '/location/statistical_region', '/book/book_subject', '/symbols/namesake', '/organization/organization_founder', '/periodicals/newspaper_circulation_area', '/olympics/olympic_participating_country', '/organization/organization_scope', '/location/dated_location', '/organization/organization_member', '/location/location', '/location/country', '/sports/sport_country', '/symbols/flag_referent', '/government/governmental_jurisdiction']""}"
?a  2759  ?b   => ?a  2667  ?b,0.693140794,0.994818653,1.0,192,193,192,?b,335957 2759 185613 => 335957 2667 104390,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_in_ppp_dollars ?b => ?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal_per_capita ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_in_ppp_dollars Paraguay => United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal_per_capita Madagascar,"{'?a': ""['/finance/currency']"", '?b': ""['/location/statistical_region', '/tv/tv_location', '/organization/organization_scope', '/organization/organization_member', '/location/country', '/symbols/flag_referent', '/location/dated_location', '/meteorology/cyclone_affected_area', '/book/book_subject', '/location/location', '/olympics/olympic_participating_country', '/travel/travel_destination', '/government/governmental_jurisdiction', '/sports/sports_team_location', '/biology/breed_origin', '/film/film_location', '/food/beer_country_region']""}"
?a  2759  ?b   => ?a  2672  ?b,0.647651007,1.0,1.0,193,193,193,?b,335957 2759 185613 => 335957 2672 157639,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_in_ppp_dollars ?b => ?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_in_ppp_dollars Paraguay => United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal Ecuador,"{'?a': ""['/finance/currency']"", '?b': ""['/sports/sports_team_location', '/travel/travel_destination', '/location/statistical_region', '/book/book_subject', '/symbols/namesake', '/organization/organization_founder', '/periodicals/newspaper_circulation_area', '/olympics/olympic_participating_country', '/organization/organization_scope', '/location/dated_location', '/organization/organization_member', '/location/location', '/location/country', '/sports/sport_country', '/symbols/flag_referent', '/government/governmental_jurisdiction']""}"
?a  2759  ?b   => ?a  2735  ?b,1.0,1.0,1.0,193,193,193,?b,335957 2759 185613 => 335957 2735 1374248,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_in_ppp_dollars ?b => ?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_per_capita_in_ppp_dollars ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_in_ppp_dollars Paraguay => United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_per_capita_in_ppp_dollars Swaziland,"{'?a': ""['/finance/currency']"", '?b': ""['/royalty/kingdom', '/travel/travel_destination', '/location/statistical_region', '/location/location', '/olympics/olympic_participating_country', '/organization/organization_member', '/organization/organization_founder', '/sports/sports_team_location', '/book/book_subject', '/location/country', '/organization/organization_scope', '/location/dated_location', '/symbols/flag_referent', '/government/governmental_jurisdiction']""}"
?a  2759  ?b   => ?a  2738  ?b,0.95049505,0.994818653,1.0,192,193,192,?b,335957 2759 185613 => 335957 2738 16941,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_in_ppp_dollars ?b => ?a /measurement_unit/adjusted_money_value/adjustment_currency-/location/statistical_region/gdp_real ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gni_in_ppp_dollars Paraguay => United States Dollar /measurement_unit/adjusted_money_value/adjustment_currency-/location/statistical_region/gdp_real Brunei,"{'?a': ""['/finance/currency']"", '?b': ""['/symbols/flag_referent', '/location/location', '/sports/sports_team_location', '/location/statistical_region', '/location/dated_location', '/olympics/olympic_participating_country', '/organization/organization_scope', '/organization/organization_member', '/book/book_subject', '/location/country', '/travel/travel_destination', '/organization/organization_founder', '/government/governmental_jurisdiction']""}"
?a  2765  ?b   => ?a  2667  ?b,0.646209386,1.0,1.0,179,179,179,?b,335957 2765 10645 => 335957 2667 104390,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/foreign_direct_investment_net_inflows ?b => ?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal_per_capita ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/foreign_direct_investment_net_inflows Albania => United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal_per_capita Madagascar,"{'?a': ""['/finance/currency']"", '?b': ""['/location/statistical_region', '/tv/tv_location', '/organization/organization_scope', '/organization/organization_member', '/location/country', '/symbols/flag_referent', '/location/dated_location', '/meteorology/cyclone_affected_area', '/book/book_subject', '/location/location', '/olympics/olympic_participating_country', '/travel/travel_destination', '/government/governmental_jurisdiction', '/sports/sports_team_location', '/biology/breed_origin', '/film/film_location', '/food/beer_country_region']""}"
?a  2765  ?b   => ?a  2672  ?b,0.600671141,1.0,1.0,179,179,179,?b,335957 2765 10645 => 335957 2672 157639,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/foreign_direct_investment_net_inflows ?b => ?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/foreign_direct_investment_net_inflows Albania => United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal Ecuador,"{'?a': ""['/finance/currency']"", '?b': ""['/sports/sports_team_location', '/travel/travel_destination', '/location/statistical_region', '/book/book_subject', '/symbols/namesake', '/organization/organization_founder', '/periodicals/newspaper_circulation_area', '/olympics/olympic_participating_country', '/organization/organization_scope', '/location/dated_location', '/organization/organization_member', '/location/location', '/location/country', '/sports/sport_country', '/symbols/flag_referent', '/government/governmental_jurisdiction']""}"
?a  2765  ?b   => ?a  2738  ?b,0.881188119,0.994413408,1.0,178,179,178,?b,335957 2765 10645 => 335957 2738 16941,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/foreign_direct_investment_net_inflows ?b => ?a /measurement_unit/adjusted_money_value/adjustment_currency-/location/statistical_region/gdp_real ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/foreign_direct_investment_net_inflows Albania => United States Dollar /measurement_unit/adjusted_money_value/adjustment_currency-/location/statistical_region/gdp_real Brunei,"{'?a': ""['/finance/currency']"", '?b': ""['/symbols/flag_referent', '/location/location', '/sports/sports_team_location', '/location/statistical_region', '/location/dated_location', '/olympics/olympic_participating_country', '/organization/organization_scope', '/organization/organization_member', '/book/book_subject', '/location/country', '/travel/travel_destination', '/organization/organization_founder', '/government/governmental_jurisdiction']""}"
?a  2773  ?b   => ?a  2667  ?b,0.649819495,1.0,1.0,180,180,180,?b,335957 2773 8047 => 335957 2667 104390,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/diesel_price_liter ?b => ?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal_per_capita ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/diesel_price_liter Thailand => United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal_per_capita Madagascar,"{'?a': ""['/finance/currency']"", '?b': ""['/location/statistical_region', '/tv/tv_location', '/organization/organization_scope', '/organization/organization_member', '/location/country', '/symbols/flag_referent', '/location/dated_location', '/meteorology/cyclone_affected_area', '/book/book_subject', '/location/location', '/olympics/olympic_participating_country', '/travel/travel_destination', '/government/governmental_jurisdiction', '/sports/sports_team_location', '/biology/breed_origin', '/film/film_location', '/food/beer_country_region']""}"
?a  2773  ?b   => ?a  2672  ?b,0.604026846,1.0,1.0,180,180,180,?b,335957 2773 8047 => 335957 2672 157639,?a /measurement_unit/dated_money_value/currency-/location/statistical_region/diesel_price_liter ?b => ?a /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal ?b,United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/diesel_price_liter Thailand => United States Dollar /measurement_unit/dated_money_value/currency-/location/statistical_region/gdp_nominal Ecuador,"{'?a': ""['/finance/currency']"", '?b': ""['/sports/sports_team_location', '/travel/travel_destination', '/location/statistical_region', '/book/book_subject', '/symbols/namesake', '/organization/organization_founder', '/periodicals/newspaper_circulation_area', '/olympics/olympic_participating_country', '/organization/organization_scope', '/location/dated_location', '/organization/organization_member', '/location/location', '/location/country', '/sports/sport_country', '/symbols/flag_referent', '/government/governmental_jurisdiction']""}"
?b  109  ?f  ?a  1997  ?f   => ?a  1997  ?b,0.836171938,0.984718243,1.0,1031,1047,1031,?b,18091036 109 18091036 85741 1997 2035885 => 85741 1997 2035885,?b /education/educational_institution/campuses ?f ?a /sports/sports_league_draft_pick/team-/sports/sports_league_draft_pick/school ?f => ?a /sports/sports_league_draft_pick/team-/sports/sports_league_draft_pick/school ?b,The Art Institute of Seattle /education/educational_institution/campuses The Art Institute of Seattle Oakland Raiders /sports/sports_league_draft_pick/team-/sports/sports_league_draft_pick/school University of Texas at Austin => Oakland Raiders /sports/sports_league_draft_pick/team-/sports/sports_league_draft_pick/school University of Texas at Austin,"{'?b': ""['/education/educational_institution', '/business/business_operation', '/award/ranked_item', '/book/newspaper_owner', '/organization/organization_member', '/spaceflight/satellite_manufacturer', '/broadcast/radio_station_owner', '/education/university', '/book/book_subject', '/education/educational_institution_campus', '/location/location', '/organization/organization', '/architecture/architectural_structure_owner', '/organization/endowed_organization', '/internet/website_owner', '/book/periodical_publisher', '/education/academic_institution', '/business/employer']"", '?f': ""['/education/educational_institution', '/business/business_operation', '/award/ranked_item', '/book/newspaper_owner', '/organization/organization_member', '/spaceflight/satellite_manufacturer', '/broadcast/radio_station_owner', '/education/university', '/book/book_subject', '/education/educational_institution_campus', '/location/location', '/organization/organization', '/architecture/architectural_structure_owner', '/organization/endowed_organization', '/internet/website_owner', '/book/periodical_publisher', '/education/academic_institution', '/business/employer']"", '?a': ""['/business/employer', '/film/film_subject', '/american_football/football_team', '/tv/tv_actor', '/sports/professional_sports_team', '/sports/sports_team', '/film/person_or_entity_appearing_in_film', '/organization/organization']""}"
?b  109  ?f  ?a  2135  ?f   => ?a  2135  ?b,0.810126582,0.99378882,1.0,320,322,320,?b,18091036 109 18091036 1242701 2135 3155191 => 1242701 2135 3155191,?b /education/educational_institution/campuses ?f ?a /education/education/minor-/education/education/institution ?f => ?a /education/education/minor-/education/education/institution ?b,The Art Institute of Seattle /education/educational_institution/campuses The Art Institute of Seattle Entomology /education/education/minor-/education/education/institution Ohio State University => Entomology /education/education/minor-/education/education/institution Ohio State University,"{'?b': ""['/award/ranked_item', '/organization/organization', '/education/university', '/law/litigant', '/book/school_or_movement', '/medicine/cancer_center_constituent', '/organization/endowed_organization', '/education/educational_institution_campus', '/architecture/building_occupant', '/business/business_operation', '/business/employer', '/organization/organization_member', '/music/record_label', '/architecture/venue', '/education/educational_institution', '/book/periodical_publisher', '/education/academic_institution', '/location/location']"", '?f': ""['/award/ranked_item', '/organization/organization', '/education/university', '/law/litigant', '/book/school_or_movement', '/medicine/cancer_center_constituent', '/organization/endowed_organization', '/education/educational_institution_campus', '/architecture/building_occupant', '/business/business_operation', '/business/employer', '/organization/organization_member', '/music/record_label', '/architecture/venue', '/education/educational_institution', '/book/periodical_publisher', '/education/academic_institution', '/location/location']"", '?a': ""['/book/book_subject', '/education/field_of_study']""}"
