Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable,Instances,Rules_with_labels,Instances_with_labels,Variable_types
?e  286  ?a  ?e  286  ?b   => ?a  286  ?b,0.922877687,0.961109545,1.0,23873,24839,23873,?a,28727806 286 28727806 28727806 286 28727806 => 28727806 286 28727806,?e /location/hud_county_place/place ?a ?e /location/hud_county_place/place ?b => ?a /location/hud_county_place/place ?b,Douglassville /location/hud_county_place/place Douglassville Douglassville /location/hud_county_place/place Douglassville => Douglassville /location/hud_county_place/place Douglassville,"{'?e': ""['/location/statistical_region', '/location/dated_location', '/location/citytown', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area']"", '?a': ""['/location/statistical_region', '/location/dated_location', '/location/citytown', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area']"", '?b': ""['/location/statistical_region', '/location/dated_location', '/location/citytown', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area']""}"
?e  1319  ?a  ?e  440  ?b   => ?a  320  ?b,0.360936608,0.998026056,0.999604587,2528,2533,2529,?b,64009351 1319 47378190 33599340 440 31805 => 31828 320 31805,?e /location/us_county/county_seat ?a ?e /location/administrative_division/capital ?b => ?a /location/capital_of_administrative_division/capital_of ?b,Sherman County /location/us_county/county_seat Loup City 33599340 /location/administrative_division/capital 31805 => Vernon /location/capital_of_administrative_division/capital_of 31805,"{'?e': ""['/location/us_county', '/location/statistical_region', '/location/administrative_division', '/location/dated_location', '/location/location', '/location/hud_foreclosure_area']"", '?a': ""['/location/citytown', '/location/capital_of_administrative_division', '/location/dated_location', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/location', '/location/statistical_region']""}"
?e  770  ?b  ?e  772  ?a   => ?a  770  ?b,0.192076937,1.0,1.0,4354,4354,4354,?a,93222170 770 157023 96464248 772 73366969 => 87595464 770 157023,?e /biology/gene_ontology_group/data_source ?b ?e /biology/gene_ontology_group/part_group ?a => ?a /biology/gene_ontology_group/data_source ?b,collagen type XV /biology/gene_ontology_group/data_source 157023 96464248 /biology/gene_ontology_group/part_group 73366969 => multi-layer follicle stage\ oogenesis (sensu Mammalia) /biology/gene_ontology_group/data_source 157023,"{'?e': ""['/biology/gene_group', '/biology/gene_ontology_group']"", '?a': ""['/biology/gene_group', '/biology/gene_ontology_group']""}"
?e  286  ?a  ?e  320  ?b   => ?a  320  ?b,0.342518561,1.0,1.0,2399,2399,2399,?b,28727806 286 28727806 31828 320 31805 => 31828 320 31805,?e /location/hud_county_place/place ?a ?e /location/capital_of_administrative_division/capital_of ?b => ?a /location/capital_of_administrative_division/capital_of ?b,Douglassville /location/hud_county_place/place Douglassville Vernon /location/capital_of_administrative_division/capital_of 31805 => Vernon /location/capital_of_administrative_division/capital_of 31805,"{'?e': ""['/location/citytown', '/location/capital_of_administrative_division', '/location/dated_location', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/location', '/location/statistical_region']"", '?a': ""['/location/citytown', '/location/capital_of_administrative_division', '/location/dated_location', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/location', '/location/statistical_region']""}"
?e  1443  ?a  ?e  1444  ?b   => ?a  1366  ?b,0.999759257,1.0,1.0,20764,20764,20764,?a,52341719 1443 40864419 9649622 1444 461897 => 37647758 1366 461869,?e /medicine/routed_drug/marketed_formulations ?a ?e /medicine/routed_drug/route_of_administration ?b => ?a /medicine/drug_formulation/routes ?b,Benzalkonium/Benzocaine/Alcohol/Bacitracin/Neomycin/Polymyxin B/Acetaminophen/Ibuprofen Oral /medicine/routed_drug/marketed_formulations Benzalkonium chloride\ benzocaine\ sd alcohol\ bacitracin zinc\ neomycin sulfate\ polymyxin b\ ibuprofen\ acetaminophen 325/0.6/400/0.004/0.06/200/5/5000 kit 9649622 /medicine/routed_drug/route_of_administration 461897 => Clonidine hydrochloride 500 injectable solution /medicine/drug_formulation/routes Intravenous,"{'?e': ""['/medicine/medical_treatment', '/medicine/condition_prevention_factors', '/medicine/routed_drug']"", '?a': ""['/medicine/drug_formulation']"", '?b': ""['/medicine/drug_administration_route']""}"
?f  1620  ?b  ?a  286  ?f   => ?a  1620  ?b,0.252173913,1.0,1.0,58,58,58,?b,58430615 1620 58430821 3156491 286 3156491 => 87578014 1620 87578433,?f /travel/travel_destination/local_transportation ?b ?a /location/hud_county_place/place ?f => ?a /travel/travel_destination/local_transportation ?b,Stockholm /travel/travel_destination/local_transportation Stockholm commuter rail Miami /location/hud_county_place/place Miami => Chicago /travel/travel_destination/local_transportation Regional Transportation Authority,"{'?f': ""['/rail/railway_terminus', '/tv/tv_location', '/government/governmental_jurisdiction', '/periodicals/newspaper_circulation_area', '/location/hud_county_place', '/location/place_with_neighborhoods', '/location/hud_foreclosure_area', '/film/film_location', '/travel/travel_destination', '/location/citytown', '/location/location', '/sports/sports_team_location', '/location/dated_location', '/location/statistical_region', '/organization/organization_scope', '/fictional_universe/fictional_setting']"", '?b': ""['/metropolitan_transit/transit_agency', '/business/business_operation', '/business/consumer_company', '/organization/organization', '/metropolitan_transit/transit_system', '/business/employer']"", '?a': ""['/book/book_subject', '/periodicals/newspaper_circulation_area', '/symbols/name_source', '/location/dated_location', '/location/hud_county_place', '/location/place_with_neighborhoods', '/location/capital_of_administrative_division', '/travel/travel_destination', '/fictional_universe/fictional_setting', '/film/film_location', '/government/governmental_jurisdiction', '/organization/organization_scope', '/exhibitions/exhibition_sponsor', '/business/business_location', '/award/award_discipline', '/location/citytown', '/sports/sports_team_location', '/tv/tv_location', '/location/administrative_division', '/business/employer', '/location/statistical_region', '/location/location', '/olympics/olympic_bidding_city']""}"
?e  1620  ?b  ?e  286  ?a   => ?a  1620  ?b,0.252173913,1.0,1.0,58,58,58,?b,58430615 1620 58430821 3156491 286 3156491 => 87578014 1620 87578433,?e /travel/travel_destination/local_transportation ?b ?e /location/hud_county_place/place ?a => ?a /travel/travel_destination/local_transportation ?b,Stockholm /travel/travel_destination/local_transportation Stockholm commuter rail Miami /location/hud_county_place/place Miami => Chicago /travel/travel_destination/local_transportation Regional Transportation Authority,"{'?e': ""['/rail/railway_terminus', '/tv/tv_location', '/government/governmental_jurisdiction', '/periodicals/newspaper_circulation_area', '/location/hud_county_place', '/location/place_with_neighborhoods', '/location/hud_foreclosure_area', '/film/film_location', '/travel/travel_destination', '/location/citytown', '/location/location', '/sports/sports_team_location', '/location/dated_location', '/location/statistical_region', '/organization/organization_scope', '/fictional_universe/fictional_setting']"", '?b': ""['/metropolitan_transit/transit_agency', '/business/business_operation', '/business/consumer_company', '/organization/organization', '/metropolitan_transit/transit_system', '/business/employer']"", '?a': ""['/book/book_subject', '/periodicals/newspaper_circulation_area', '/symbols/name_source', '/location/dated_location', '/location/hud_county_place', '/location/place_with_neighborhoods', '/location/capital_of_administrative_division', '/travel/travel_destination', '/fictional_universe/fictional_setting', '/film/film_location', '/government/governmental_jurisdiction', '/organization/organization_scope', '/exhibitions/exhibition_sponsor', '/business/business_location', '/award/award_discipline', '/location/citytown', '/sports/sports_team_location', '/tv/tv_location', '/location/administrative_division', '/business/employer', '/location/statistical_region', '/location/location', '/olympics/olympic_bidding_city']""}"
?e  286  ?b  ?a  547  ?e   => ?a  547  ?b,0.379833012,0.999661934,0.999661934,2957,2958,2958,?a,28727806 286 28727806 4264290 547 87578014 => 4264290 547 87578014,?e /location/hud_county_place/place ?b ?a /film/film/featured_film_locations ?e => ?a /film/film/featured_film_locations ?b,Douglassville /location/hud_county_place/place Douglassville High Fidelity /film/film/featured_film_locations Chicago => High Fidelity /film/film/featured_film_locations Chicago,"{'?e': ""['/book/book_subject', '/periodicals/newspaper_circulation_area', '/symbols/name_source', '/location/dated_location', '/location/hud_county_place', '/location/place_with_neighborhoods', '/location/capital_of_administrative_division', '/travel/travel_destination', '/fictional_universe/fictional_setting', '/film/film_location', '/government/governmental_jurisdiction', '/organization/organization_scope', '/exhibitions/exhibition_sponsor', '/business/business_location', '/award/award_discipline', '/location/citytown', '/sports/sports_team_location', '/tv/tv_location', '/location/administrative_division', '/business/employer', '/location/statistical_region', '/location/location', '/olympics/olympic_bidding_city']"", '?b': ""['/book/book_subject', '/periodicals/newspaper_circulation_area', '/symbols/name_source', '/location/dated_location', '/location/hud_county_place', '/location/place_with_neighborhoods', '/location/capital_of_administrative_division', '/travel/travel_destination', '/fictional_universe/fictional_setting', '/film/film_location', '/government/governmental_jurisdiction', '/organization/organization_scope', '/exhibitions/exhibition_sponsor', '/business/business_location', '/award/award_discipline', '/location/citytown', '/sports/sports_team_location', '/tv/tv_location', '/location/administrative_division', '/business/employer', '/location/statistical_region', '/location/location', '/olympics/olympic_bidding_city']"", '?a': ""['/media_common/adaptation', '/media_common/netflix_title', '/film/film', '/award/award_nominated_work']""}"
?e  769  ?a  ?e  770  ?b   => ?a  770  ?b,0.351199929,1.0,1.0,7961,7961,7961,?a,90876282 769 26964206 93222170 770 157023 => 17231350 770 157023,?e /biology/gene_ontology_group/broader_group ?a ?e /biology/gene_ontology_group/data_source ?b => ?a /biology/gene_ontology_group/data_source ?b,membrane lipid catabolic process /biology/gene_ontology_group/broader_group membrane lipid metabolic process collagen type XV /biology/gene_ontology_group/data_source 157023 => embryonic forelimb morphogenesis /biology/gene_ontology_group/data_source 157023,"{'?e': ""['/biology/gene_group', '/biology/gene_ontology_group']"", '?a': ""['/biology/gene_group', '/biology/gene_ontology_group']""}"
?e  286  ?a  ?e  362  ?b   => ?a  362  ?b,0.199713751,1.0,1.0,3628,3628,3628,?b,28727806 286 28727806 19941535 362 19941598 => 19941535 362 19941598,?e /location/hud_county_place/place ?a ?e /travel/travel_destination/tourist_attractions ?b => ?a /travel/travel_destination/tourist_attractions ?b,Douglassville /location/hud_county_place/place Douglassville Weston /travel/travel_destination/tourist_attractions Sawgrass Recreation Park => Weston /travel/travel_destination/tourist_attractions Sawgrass Recreation Park,"{'?e': ""['/location/hud_county_place', '/location/hud_foreclosure_area', '/location/citytown', '/periodicals/newspaper_circulation_area', '/government/governmental_jurisdiction', '/location/dated_location', '/location/statistical_region', '/travel/travel_destination', '/location/location']"", '?a': ""['/location/hud_county_place', '/location/hud_foreclosure_area', '/location/citytown', '/periodicals/newspaper_circulation_area', '/government/governmental_jurisdiction', '/location/dated_location', '/location/statistical_region', '/travel/travel_destination', '/location/location']"", '?b': ""['/location/location', '/travel/tourist_attraction']""}"
?e  1466  ?b  ?e  896  ?a   => ?a  1466  ?b,0.1875,1.0,1.0,165,165,165,?a,70521671 1466 57918110 9238108 896 96955046 => 30214121 1466 93347740,?e /government/election/district ?b ?e /government/primary_election/follow_on_election ?a => ?a /government/election/district ?b,2008 Democratic Primary\ California’s 9th Senate District /government/election/district California’s 9th Senate District 9238108 /government/primary_election/follow_on_election 96955046 => California’s 30th congressional district election\2008 /government/election/district California’s 30th congressional district,"{'?e': ""['/government/election', '/government/primary_election', '/time/event']"", '?b': ""['/location/dated_location', '/location/location', '/government/political_district']"", '?a': ""['/book/book_subject', '/government/election', '/time/event']""}"
?f  1466  ?b  ?a  896  ?f   => ?a  1466  ?b,0.409090909,1.0,1.0,360,360,360,?a,70521671 1466 57918110 9238108 896 96955046 => 70521671 1466 57918110,?f /government/election/district ?b ?a /government/primary_election/follow_on_election ?f => ?a /government/election/district ?b,2008 Democratic Primary\ California’s 9th Senate District /government/election/district California’s 9th Senate District 9238108 /government/primary_election/follow_on_election 96955046 => 2008 Democratic Primary\ California’s 9th Senate District /government/election/district California’s 9th Senate District,"{'?f': ""['/government/election', '/government/primary_election', '/time/event']"", '?b': ""['/location/dated_location', '/government/political_district', '/location/location']"", '?a': ""['/government/election', '/government/primary_election', '/time/event']""}"
?a  769  ?f  ?f  770  ?b   => ?a  770  ?b,0.999779425,1.0,1.0,22663,22663,22663,?a,90876282 769 26964206 17231350 770 157023 => 93222170 770 157023,?a /biology/gene_ontology_group/broader_group ?f ?f /biology/gene_ontology_group/data_source ?b => ?a /biology/gene_ontology_group/data_source ?b,membrane lipid catabolic process /biology/gene_ontology_group/broader_group membrane lipid metabolic process embryonic forelimb morphogenesis /biology/gene_ontology_group/data_source 157023 => collagen type XV /biology/gene_ontology_group/data_source 157023,"{'?a': ""['/biology/gene_group', '/biology/gene_ontology_group']"", '?f': ""['/biology/gene_group', '/biology/gene_ontology_group']""}"
?b  176  ?f  ?a  626  ?f   => ?a  626  ?b,0.823333333,0.995967742,0.995967742,247,248,248,?a,75878578 176 24430784 43562748 626 24250297 => 94289180 626 61901951,?b /education/educational_institution/campuses ?f ?a /education/fraternity_sorority/founded_location ?f => ?a /education/fraternity_sorority/founded_location ?b,Manchuria Mission College /education/educational_institution/campuses Manchuria Mission College\ main campus 43562748 /education/fraternity_sorority/founded_location 24250297 => Alpha Delta Gamma /education/fraternity_sorority/founded_location Loyola University Chicago,"{'?b': ""['/internet/social_network_user', '/organization/endowed_organization', '/business/employer', '/organization/organization', '/education/educational_institution', '/education/university', '/award/ranked_item']"", '?f': ""['/education/educational_institution_campus', '/location/location']"", '?a': ""['/business/employer', '/education/fraternity_sorority', '/organization/organization']""}"
?e  390  ?b  ?e  391  ?a   => ?a  444  ?b,0.985888266,0.920910076,0.995510443,5100,5538,5123,?b,41926 390 449076 41926 391 34878212 => 33413213 444 56170354,?e /location/partial_containment_relationship/partially_contains ?b ?e /location/partial_containment_relationship/partially_contained_by ?a => ?a /location/location/partially_contains ?b,41926 /location/partial_containment_relationship/partially_contains 91307-1011 41926 /location/partial_containment_relationship/partially_contained_by 34878212 => Western Australia /location/location/partially_contains Swan River,"{'?b': ""['/geography/river', '/geography/geographical_feature', '/location/location', '/geography/body_of_water']"", '?a': ""['/location/dated_location', '/meteorology/cyclone_affected_area', '/law/court_jurisdiction_area', '/film/film_location', '/government/governmental_jurisdiction', '/location/australian_state', '/organization/organization_scope', '/location/administrative_division', '/symbols/coat_of_arms_bearer', '/periodicals/newspaper_circulation_area', '/government/political_district', '/location/location', '/location/statistical_region']""}"
?e  286  ?b  ?a  593  ?e   => ?a  593  ?b,0.316001698,1.0,1.0,2978,2978,2978,?a,28727806 286 28727806 12367639 593 31095236 => 12367639 593 31095236,?e /location/hud_county_place/place ?b ?a /book/newspaper/circulation_areas ?e => ?a /book/newspaper/circulation_areas ?b,Douglassville /location/hud_county_place/place Douglassville Tri County Business Journal /book/newspaper/circulation_areas Eastlake => Tri County Business Journal /book/newspaper/circulation_areas Eastlake,"{'?e': ""['/location/citytown', '/location/hud_county_place', '/location/statistical_region', '/location/location', '/location/dated_location', '/periodicals/newspaper_circulation_area', '/location/hud_foreclosure_area']"", '?b': ""['/location/citytown', '/location/hud_county_place', '/location/statistical_region', '/location/location', '/location/dated_location', '/periodicals/newspaper_circulation_area', '/location/hud_foreclosure_area']"", '?a': ""['/book/newspaper', '/book/periodical']""}"
?a  2238  ?e  ?e  762  ?b   => ?a  2239  ?b,1.0,1.0,1.0,862,862,862,?b,73088665 2238 94355681 53460318 762 82411657 => 72493147 2239 50988645,?a /biology/chromosome/locus ?e ?e /biology/genomic_locus/band ?b => ?a /biology/chromosome/band ?b,Escherichia coli str. K-12 substr. MG1655 /biology/chromosome/locus b3050 X - [151669058\151670754] /biology/genomic_locus/band Human Cytogenetic Band Xq28 => Chromosome 11 (human) /biology/chromosome/band Human Cytogenetic Band 11p14.2,"{'?a': ""['/biology/chromosome']"", '?e': ""['/biology/genomic_locus']"", '?b': ""['/biology/cytogenetic_band']""}"
?a  2238  ?f  ?b  765  ?f   => ?a  2239  ?b,1.0,1.0,1.0,862,862,862,?b,73088665 2238 94355681 50491165 765 50491166 => 72493147 2239 50988645,?a /biology/chromosome/locus ?f ?b /biology/cytogenetic_band/locus ?f => ?a /biology/chromosome/band ?b,Escherichia coli str. K-12 substr. MG1655 /biology/chromosome/locus b3050 Human Cytogenetic Band 9p13.1 /biology/cytogenetic_band/locus Locus for Human Cytogenetic Band 9p13.1 => Chromosome 11 (human) /biology/chromosome/band Human Cytogenetic Band 11p14.2,"{'?a': ""['/biology/chromosome']"", '?f': ""['/biology/genomic_locus']"", '?b': ""['/biology/cytogenetic_band']""}"
?a  166  ?f  ?b  286  ?f   => ?a  166  ?b,0.203987973,0.937795562,1.0,2578,2749,2578,?b,94209637 166 77292925 77484944 286 77484944 => 90897187 166 69841707,?a /aviation/airport/serves ?f ?b /location/hud_county_place/place ?f => ?a /aviation/airport/serves ?b,Clyde River Airport /aviation/airport/serves Clyde River\ Nunavut 77484944 /location/hud_county_place/place 77484944 => Calhoun County Airport /aviation/airport/serves Blountstown,"{'?a': ""['/aviation/airport', '/location/location']"", '?f': ""['/location/citytown', '/location/dated_location', '/location/location', '/location/statistical_region']"", '?b': ""['/location/citytown', '/location/statistical_region', '/location/capital_of_administrative_division', '/location/dated_location', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/location']""}"
?f  286  ?b  ?a  649  ?f   => ?a  649  ?b,0.66746872,1.0,1.0,1387,1387,1387,?a,28727806 286 28727806 72919411 649 79541569 => 72919411 649 79541569,?f /location/hud_county_place/place ?b ?a /education/school_district/locations_served ?f => ?a /education/school_district/locations_served ?b,Douglassville /location/hud_county_place/place Douglassville Rio Rancho Public Schools /education/school_district/locations_served Rio Rancho => Rio Rancho Public Schools /education/school_district/locations_served Rio Rancho,"{'?f': ""['/location/statistical_region', '/location/dated_location', '/location/location', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/citytown']"", '?b': ""['/location/statistical_region', '/location/dated_location', '/location/location', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/citytown']"", '?a': ""['/education/school_district', '/organization/organization', '/location/location']""}"
?a  166  ?e  ?e  286  ?b   => ?a  166  ?b,0.203987973,1.0,1.0,2578,2578,2578,?b,94209637 166 77292925 77484944 286 77484944 => 90897187 166 69841707,?a /aviation/airport/serves ?e ?e /location/hud_county_place/place ?b => ?a /aviation/airport/serves ?b,Clyde River Airport /aviation/airport/serves Clyde River\ Nunavut 77484944 /location/hud_county_place/place 77484944 => Calhoun County Airport /aviation/airport/serves Blountstown,"{'?a': ""['/aviation/airport', '/location/location']"", '?e': ""['/location/citytown', '/location/dated_location', '/location/location', '/location/statistical_region']"", '?b': ""['/location/citytown', '/location/statistical_region', '/location/capital_of_administrative_division', '/location/dated_location', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/location']""}"
?b  1341  ?f  ?a  807  ?f   => ?a  808  ?b,0.462474645,0.96,1.0,456,475,456,?b,45065418 1341 1882878 98246152 807 10018207 => 76377125 808 30387825,?b /zoos/animal_captivity/exhibit ?f ?a /zoos/zoo/exhibits ?f => ?a /zoos/zoo/notable_animals ?b,45065418 /zoos/animal_captivity/exhibit Red Ape Rainforest 98246152 /zoos/zoo/exhibits 10018207 => Milwaukee County Zoo /zoos/zoo/notable_animals 30387825,"{'?f': ""['/zoos/zoo_exhibit']"", '?a': ""['/travel/tourist_attraction', '/location/location', '/business/employer', '/zoos/zoo']""}"
?f  1288  ?b  ?a  695  ?f   => ?a  815  ?b,0.557407407,1.0,1.0,301,301,301,?a,101196519 1288 83944591 163391 695 78728825 => 75332209 815 64029962,?f /aviation/aviation_incident_aircraft_relationship/flight_origin ?b ?a /aviation/airliner_accident/aircraft ?f => ?a /aviation/airliner_accident/flight_origin ?b,101196519 /aviation/aviation_incident_aircraft_relationship/flight_origin Oslo Airport\ Fornebu 163391 /aviation/airliner_accident/aircraft 78728825 => Spanair Flight 5022 /aviation/airliner_accident/flight_origin Adolfo Suárez Madrid–Barajas Airport,"{'?b': ""['/aviation/airport', '/travel/transport_terminus', '/location/location', '/travel/travel_destination', '/projects/project_focus']"", '?a': ""['/event/disaster', '/aviation/airliner_accident', '/time/event']""}"
?b  176  ?f  ?a  472  ?f   => ?a  472  ?b,0.450888681,0.995867769,0.995867769,482,484,484,?a,75878578 176 24430784 56505160 472 97477952 => 20036043 472 994565,?b /education/educational_institution/campuses ?f ?a /education/academic_post/institution ?f => ?a /education/academic_post/institution ?b,Manchuria Mission College /education/educational_institution/campuses Manchuria Mission College\ main campus 56505160 /education/academic_post/institution 97477952 => 20036043 /education/academic_post/institution Stanford University,"{'?b': ""['/award/ranked_item', '/education/academic_institution', '/fictional_universe/school_in_fiction', '/venture_capital/venture_investor', '/business/employer', '/law/patent_assignee', '/symbols/namesake', '/business/business_operation', '/film/film_location', '/book/periodical_publisher', '/education/educational_institution', '/organization/organization_founder', '/visual_art/art_owner', '/internet/website_owner', '/medicine/cancer_center_constituent', '/location/dated_location', '/location/location', '/book/book_subject', '/medicine/medical_trial_sponsor', '/exhibitions/exhibition_producer', '/computer/software_developer', '/organization/organization_member', '/film/film_screening_venue', '/projects/project_participant', '/organization/organization', '/organization/endowed_organization', '/education/university']"", '?f': ""['/education/educational_institution_campus', '/location/location']""}"
?e  1018  ?a  ?e  78  ?b   => ?a  1403  ?b,0.932435191,0.973779578,0.998688238,4568,4691,4574,?b,9246253 1018 41201358 16210079 78 71053042 => 22704538 1403 52321306,?e /olympics/olympic_medal_honor/olympics ?a ?e /olympics/olympic_medal_honor/event ?b => ?a /olympics/olympic_games/competitions ?b,9246253 /olympics/olympic_medal_honor/olympics 1996 Summer Olympics 16210079 /olympics/olympic_medal_honor/event 71053042 => 2014 Winter Olympics /olympics/olympic_games/competitions Freestyle skiing at the 2014 Winter Olympics – Men's ski cross,"{'?a': ""['/film/film_subject', '/time/event', '/olympics/olympic_games', '/book/book_subject']"", '?b': ""['/time/event', '/olympics/olympic_event_competition']""}"
?a  286  ?f  ?f  289  ?b   => ?a  289  ?b,0.242638015,0.999664964,0.999664964,23870,23878,23878,?b,28727806 286 28727806 27909 289 27914 => 27909 289 27914,?a /location/hud_county_place/place ?f ?f /location/hud_foreclosure_area/bls_unemployment_rate ?b => ?a /location/hud_foreclosure_area/bls_unemployment_rate ?b,Douglassville /location/hud_county_place/place Douglassville Buna /location/hud_foreclosure_area/bls_unemployment_rate 27914 => Buna /location/hud_foreclosure_area/bls_unemployment_rate 27914,"{'?a': ""['/location/location', '/location/statistical_region', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/dated_location', '/location/census_designated_place']"", '?f': ""['/location/location', '/location/statistical_region', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/dated_location', '/location/census_designated_place']""}"
?b  389  ?f  ?f  879  ?a   => ?a  831  ?b,0.379184419,0.99393746,0.998717538,3115,3134,3119,?b,92267030 389 92267031 77389963 879 73906224 => 16715762 831 14538415,?b /business/company_product_relationship/consumer_product ?f ?f /wine/wine/wine_producer ?a => ?a /business/consumer_company/products ?b,Vina la Rosa /business/company_product_relationship/consumer_product 2005 La Capitana Cabernet Sauvignon Barrel Reserve 77389963 /wine/wine/wine_producer 73906224 => Mantra Wines /business/consumer_company/products 14538415,"{'?b': ""['/business/business_operation', '/business/employer', '/organization/organization', '/wine/wine_producer']"", '?f': ""['/wine/wine', '/business/consumer_product']"", '?a': ""['/business/employer', '/wine/wine_producer', '/business/business_operation', '/organization/organization']""}"
?a  176  ?f  ?f  664  ?b   => ?a  664  ?b,0.412614466,0.996923805,0.999881334,8426,8452,8427,?a,75878578 176 24430784 92352379 664 130743 => 92352379 664 130743,?a /education/educational_institution/campuses ?f ?f /education/educational_institution/colors ?b => ?a /education/educational_institution/colors ?b,Manchuria Mission College /education/educational_institution/campuses Manchuria Mission College\ main campus Higher Colleges of Technology /education/educational_institution/colors Green => Higher Colleges of Technology /education/educational_institution/colors Green,"{'?a': ""['/education/university', '/organization/organization', '/business/employer', '/education/educational_institution_campus', '/location/location', '/education/educational_institution']"", '?f': ""['/education/university', '/organization/organization', '/business/employer', '/education/educational_institution_campus', '/location/location', '/education/educational_institution']"", '?b': ""['/visual_art/color']""}"
?a  176  ?f  ?f  557  ?b   => ?a  557  ?b,0.953390228,0.995008319,0.995008319,10166,10217,10217,?b,75878578 176 24430784 31762596 557 54646989 => 31762596 557 54646989,?a /education/educational_institution/campuses ?f ?f /education/university/local_tuition ?b => ?a /education/university/local_tuition ?b,Manchuria Mission College /education/educational_institution/campuses Manchuria Mission College\ main campus Towson University /education/university/local_tuition 54646989 => Towson University /education/university/local_tuition 54646989,"{'?a': ""['/award/ranked_item', '/organization/organization', '/education/university', '/book/newspaper_owner', '/education/educational_institution', '/education/educational_institution_campus', '/organization/endowed_organization', '/business/employer', '/award/award_winner', '/book/periodical_publisher', '/location/location']"", '?f': ""['/award/ranked_item', '/organization/organization', '/education/university', '/book/newspaper_owner', '/education/educational_institution', '/education/educational_institution_campus', '/organization/endowed_organization', '/business/employer', '/award/award_winner', '/book/periodical_publisher', '/location/location']""}"
?f  1112  ?b  ?a  1157  ?f   => ?a  1112  ?b,0.234042553,0.93902439,1.0,77,82,77,?a,51522128 1112 93881284 73232427 1157 69594063 => 51522128 1112 93881284,?f /sports/defunct_sports_team/sport ?b ?a /sports/defunct_sports_team/later_known_as ?f => ?a /sports/defunct_sports_team/sport ?b,Houston Oilers /sports/defunct_sports_team/sport American football 73232427 /sports/defunct_sports_team/later_known_as 69594063 => Houston Oilers /sports/defunct_sports_team/sport American football,"{'?f': ""['/sports/sports_team', '/business/employer', '/sports/defunct_sports_team', '/american_football/football_team']"", '?b': ""['/organization/organization', '/book/book_subject', '/business/employer', '/olympics/olympic_sport', '/cvg/computer_game_subject', '/cvg/cvg_genre', '/tv/tv_subject', '/fictional_universe/fictional_organization_type', '/sports/sports_league', '/film/film_subject', '/book/periodical_subject', '/award/hall_of_fame_discipline', '/award/award_discipline', '/media_common/media_genre', '/sports/sports_position', '/broadcast/genre', '/sports/sport']"", '?a': ""['/sports/sports_team', '/business/employer', '/sports/defunct_sports_team', '/american_football/football_team']""}"
?a  1000  ?f  ?f  286  ?b   => ?a  1000  ?b,0.153310105,1.0,1.0,44,44,44,?a,12681079 1000 51954875 36578545 286 36578545 => 89935880 1000 13095811,?a /boats/ship/place_built ?f ?f /location/hud_county_place/place ?b => ?a /boats/ship/place_built ?b,USS Independence /boats/ship/place_built Boston Navy Yard 36578545 /location/hud_county_place/place 36578545 => SS Edmund Fitzgerald /boats/ship/place_built River Rouge,"{'?a': ""['/boats/ship', '/book/book_subject']"", '?f': ""['/protected_sites/listed_site', '/travel/transport_terminus', '/location/location']"", '?b': ""['/location/hud_foreclosure_area', '/location/location', '/location/hud_county_place', '/location/citytown', '/organization/organization_scope', '/location/dated_location', '/location/statistical_region']""}"
?b  176  ?f  ?a  698  ?f   => ?a  698  ?b,0.434583221,0.983516484,0.998141264,1611,1638,1614,?b,75878578 176 24430784 36909865 698 64339200 => 36909865 698 64339200,?b /education/educational_institution/campuses ?f ?a /education/educational_institution/subsidiary_or_constituent_schools ?f => ?a /education/educational_institution/subsidiary_or_constituent_schools ?b,Manchuria Mission College /education/educational_institution/campuses Manchuria Mission College\ main campus University of Pittsburgh /education/educational_institution/subsidiary_or_constituent_schools University of Pittsburgh School of Health and Rehabilitation Sciences => University of Pittsburgh /education/educational_institution/subsidiary_or_constituent_schools University of Pittsburgh School of Health and Rehabilitation Sciences,"{'?b': ""['/education/university', '/education/educational_institution_campus', '/location/location', '/award/ranked_item', '/organization/organization', '/education/educational_institution', '/business/employer']"", '?f': ""['/education/university', '/education/educational_institution_campus', '/location/location', '/award/ranked_item', '/organization/organization', '/education/educational_institution', '/business/employer']"", '?a': ""['/business/employer', '/education/educational_institution', '/award/ranked_item', '/medicine/cancer_center_constituent', '/organization/organization', '/location/location', '/education/educational_institution_campus', '/organization/endowed_organization', '/sports/sports_team_location', '/book/periodical_publisher', '/award/award_presenting_organization', '/education/university', '/organization/organization_member']""}"
